nodo,pagerank,in_degree,out_degree,hits_hub,hits_authority,betweenness,closeness
61682,0.00035349298837577885,7,8,1.0464573869501165e-06,1.0135523036784064e-07,6.747618053270881e-05,0.0035573342226668885
61804,0.00026894954189293524,11,14,5.003929997211468e-09,2.3336556269904726e-08,1.192204377130173e-05,0.005502751375687844
61876,0.00011209817168678024,1,5,2.1069756864320897e-20,-1.106437235241683e-19,5.216154957692393e-07,0.0008893335556667221
62001,0.00033645841045987235,8,8,9.245890707308074e-06,0.0001828638844108134,0.0021542674843813715,0.07406154734825977
62018,0.00045291825578590923,2,1,1.0639820997264115e-20,1.9167656885439847e-19,0.0,0.0011255627813906953
62324,8.64439217488278e-05,0,0,-0.0,-1.3807049894101773e-19,0.0,0.0
62336,0.0007522973759382365,15,10,-2.1274600904600086e-21,-3.830806939628484e-20,7.511263139077047e-08,0.007609067691740607
62345,0.00010935766838876936,4,16,-7.697464354063166e-19,-2.324836471376392e-19,0.0,0.002001000500250125
62465,0.0008475823971019799,9,9,2.94284090683968e-10,5.1137760674218067e-11,0.00015310458031818713,0.07483679034213549
62478,0.001650362405541406,56,17,-8.184766378536088e-19,-4.2576626004238374e-18,4.500475324122441e-06,0.02801400700350175
62506,0.0001812616245235854,8,13,1.0727346552454775e-06,1.654489726741078e-07,0.0,0.00400200100050025
63056,0.00023631675155485617,1,1,7.760113379586292e-22,1.699294293447731e-19,0.0,0.008841021818098592
63254,0.0005763566637809288,9,12,3.295097713257499e-09,7.534606250914198e-08,0.000771657099821182,0.12105406889563676
63472,0.0005297431371795514,17,9,1.0732819844226517e-06,3.4957504362517104e-07,5.583014587516839e-05,0.008504252126063032
63698,0.000575184448367622,1,1,-6.121231001912773e-22,2.1772440581365786e-20,0.0,0.0005002501250625312
63718,0.0003213236439961703,47,59,0.009122998773527817,0.00811138449168889,2.5050448813054767e-06,0.08394138923425708
63856,0.0019798653941112973,64,15,1.3345197911124934e-06,1.6672001879363054e-06,0.003391173252088989,0.14430754400652845
63893,0.0001812616245235854,8,13,1.07273465524548e-06,1.6544897267391828e-07,0.0,0.00400200100050025
63955,0.00045125586669925817,28,26,1.3017340911263194e-06,6.909370872896681e-07,1.7685522122523223e-05,0.022356005589001398
64172,0.00014318010762891709,3,17,1.9482027641333913e-06,6.455307746682474e-08,0.0007755137640322143,0.1143469678479758
64411,0.000743761547824043,21,16,3.2030689427599473e-09,1.2190207505921166e-09,8.960322450400822e-08,0.013488628372157094
64569,0.0004478015622100249,17,26,1.569260358686171e-08,5.333362766783059e-09,4.427499250179407e-05,0.11755212087722534
64582,0.0007907776276033656,18,9,4.602448018938903e-08,1.8804335255550559e-07,0.003708907890038427,0.1400014628724284
64632,8.64439217488278e-05,0,0,-0.0,-1.6228606006565025e-20,0.0,0.0
64737,0.000575184448367622,4,4,1.4472105971231265e-20,2.616757974985117e-19,0.0,0.002001000500250125
64749,0.0005751844483676223,29,29,1.3159048592861382e-18,3.4093864438947304e-18,0.0,0.014507253626813406
64812,0.00010710660191243484,1,15,1.3533814030430143e-06,2.692982905189915e-08,0.0,0.10088534389490136
64871,0.0006748689080474306,7,4,-5.2153708269197924e-21,-3.062908549454173e-19,0.0,0.0038480778850963943
64896,8.64439217488278e-05,0,0,-0.0,6.5790388924845876e-21,0.0,0.0
64932,0.0001148535537689555,5,17,-7.7738163770281455e-19,-4.61474733848159e-19,0.0,0.0025012506253126563
64933,0.00046217737401690016,1,1,2.685515483218175e-21,2.3286776055622485e-19,0.0,0.0009004502251125562
65035,0.0007457076096758726,22,16,2.6265140456374134e-09,4.179708454206647e-08,1.1318941617424196e-05,0.015383724920311394
65051,0.0002989207944473376,43,59,0.009130160034836838,0.007607373304419043,0.0,0.08390386095025831
65231,8.64439217488278e-05,0,8,1.0942917902137512e-06,-2.5546433511585204e-19,0.0,0.0
65358,0.0004322951152081043,5,2,4.951992320029147e-16,5.5485229425341596e-15,3.588714610892367e-06,0.006615552674296332
65463,0.00488595307096972,60,4,0.0002728302082570854,0.0006376336274038079,0.057525387454253965,0.1583729628527344
65551,0.0006752903883326502,15,5,1.0852039131821673e-06,3.082437093251199e-07,0.00024901179898968647,0.10481539289611297
65580,0.0009735164400842099,17,0,-0.0,4.007309067995381e-07,0.0,0.18040162115606748
65801,0.000757692084037048,15,11,-3.507270628159528e-21,-1.6446562144838616e-19,1.9529284161600318e-06,0.007609067691740607
65881,0.00045125586669925817,28,26,1.3017340911263126e-06,6.909370872896412e-07,1.768552212252324e-05,0.022356005589001398
65884,8.64439217488278e-05,0,1,1.0538770931158669e-09,4.76809058719446e-19,0.0,0.0
65971,0.00032057264658283727,3,5,7.185861810672014e-14,2.7810725668782612e-15,8.888328047907839e-06,0.006294409340592626
66183,0.0003151713822440317,25,29,2.0344029470667e-08,9.674607993786826e-09,0.0002561645088362208,0.12086424793462583
66510,0.00037815679032396105,19,3,1.1910951068300033e-08,6.749129909717349e-09,0.0016315133793930589,0.12391677846186216
66542,0.000255280300706237,6,10,1.0382752837070886e-06,3.3192674051777925e-10,0.0028217311859132775,0.004456773841466187
66694,0.0004865602390284065,3,0,-0.0,8.259448057315255e-10,0.0,0.1381940740633136
66825,0.0003218072880991664,48,60,0.009126619847025013,0.008210683629180683,0.0002527924618763473,0.08395077655132643
66860,0.00032012622397644265,4,8,1.0998014837946558e-06,2.59380558527111e-07,0.0002766498895443837,0.14624738825676234
67021,0.0004953861326670097,5,5,1.5502348820131964e-11,2.723911171420511e-10,0.0,0.0025012506253126563
67281,8.64439217488278e-05,0,4,8.823404745941696e-22,1.1070518688699887e-19,0.0,0.0
67467,8.64439217488278e-05,0,5,1.467016451923876e-09,6.050446574417381e-20,0.0,0.0
67503,0.00019844515307880351,2,2,7.124556754217823e-14,5.011530962516803e-12,0.0,0.0010005002501250625
67574,8.64439217488278e-05,0,1,5.672952051344465e-21,-1.8904699027377095e-19,0.0,0.0
67631,8.64439217488278e-05,0,2,7.173922255207734e-14,4.795826149057018e-19,0.0,0.0
67756,0.00043951665690396757,5,1,3.5623469744549017e-16,5.555896957542214e-15,0.0,0.006683754248258149
67760,0.0002509368990840686,18,23,1.041310434867386e-08,3.486112093762749e-09,0.0001369216882909414,0.11503031626140992
67762,8.64439217488278e-05,0,1,4.096333449698726e-09,1.6193421457661844e-19,0.0,0.0
67816,0.0001791050179286797,3,2,1.8617152488096517e-09,6.960095487831008e-08,0.00037829555056191383,0.11343122452734376
67832,0.00026777033348506787,11,13,4.2853247827730325e-09,2.335041017294569e-08,0.0,0.005502751375687844
67876,8.64439217488278e-05,0,0,-0.0,-1.8798576932034262e-19,0.0,0.0
67935,0.0001148535537689555,5,17,-7.7922016932845975e-19,-7.440727274390617e-19,0.0,0.0025012506253126563
68009,0.00032821644712891754,13,18,1.3577238999214233e-06,3.3898464406922567e-07,0.0004007677053597134,0.11722171204277969
68062,0.00029784361491725075,1,6,7.199552889594636e-14,8.245450340272687e-18,2.4787168358954255e-05,0.0063561192360886325
68090,0.0007890212826700388,11,11,6.391144956175078e-09,2.2220957176494558e-08,0.0,0.13756420082865328
68137,0.0005655329110460844,4,4,-2.4807548825565457e-20,-6.25892850731437e-19,1.3353356691692525e-06,0.003762297815574454
68175,8.64439217488278e-05,0,6,4.92151430192432e-21,-7.962739147794089e-20,0.0,0.0
68295,8.64439217488278e-05,0,3,1.100834769116804e-06,1.9721790977290106e-19,0.0,0.0
68325,0.00028977449846948793,1,3,-1.3019595051223333e-21,-2.2160761415411524e-19,0.0,0.0009004502251125562
68889,0.000575184448367622,4,4,-3.9732794334006114e-20,-2.788369228709673e-19,0.0,0.002001000500250125
69005,0.0004007181930625489,8,9,1.0478926851674055e-06,1.215104007125719e-07,6.771821012274575e-05,0.00400200100050025
69244,0.00033088154893655354,47,61,0.009239406635650677,0.008127427005267454,2.4814887910287338e-05,0.08394138923425708
69358,0.0007456901749649641,7,3,4.352930174786368e-16,5.023950796788886e-12,4.056082095101605e-05,0.009676480031060307
69367,0.00012318366306076468,1,0,-0.0,2.618897447605724e-10,0.0,0.0005002501250625312
69613,0.0001640434232983391,6,15,1.2761479014946649e-08,1.1547032663959818e-09,1.8778157847692615e-07,0.11391317813686813
69638,0.0002504218666625792,24,35,0.004534744347739344,0.002243806651241576,3.324377891157016e-06,0.08368872284525765
69756,0.0004200171832884713,13,14,1.0819237568353544e-06,2.5119383232677334e-07,1.5523277154092564e-05,0.0065032516258129065
70017,0.0003188254022105983,6,7,-1.1397947988958881e-20,-4.321748274179616e-19,0.0,0.0030015007503751876
70095,0.0003606626139685236,12,17,1.3514635902618826e-06,2.8746471762646146e-07,0.00042921926380812703,0.12105915883276262
70192,0.00023851148981917093,3,4,-8.192729432788462e-21,-1.9415612146150708e-19,0.0,0.0015007503751875938
70335,8.64439217488278e-05,0,2,1.4013617772383185e-08,-1.0656258898684431e-19,0.0,0.0
70422,0.00023600542845609644,9,8,-6.299823919108009e-20,7.382835117858554e-19,0.0,0.0055680013920003475
70476,0.00026777033348506787,11,13,4.285324782781421e-09,2.3350410172355302e-08,0.0,0.005502751375687844
70515,0.00012107691600872123,3,1,1.1245382858346542e-09,7.481962772411171e-08,3.755631569538523e-07,0.018642188226980622
70684,8.64439217488278e-05,0,5,-7.551942456189313e-21,-3.280395303682655e-20,0.0,0.0
70993,0.0006865806134915246,14,11,2.972099757817764e-09,2.0832733375046088e-08,0.0,0.11263133442189963
71101,0.0005751844483676223,29,29,1.3177264929368718e-18,3.281179456402172e-18,0.0,0.014507253626813406
71113,0.00014613391992405073,1,1,-2.663052879002176e-21,1.999415170168866e-08,0.0,0.0005002501250625312
71191,0.00022568913128873466,6,15,1.118917300572031e-06,1.293469733135116e-07,1.4173878884011735e-06,0.1191378898463674
71624,9.379187001121518e-05,1,9,1.1030945298474747e-06,2.12722529265469e-08,0.0,0.0005002501250625312
71784,0.0003188254022105983,6,7,1.7000056790525357e-21,6.248360612675133e-19,0.0,0.0030015007503751876
71877,8.64439217488278e-05,0,18,-8.789717919640816e-19,-1.0961451475707201e-18,0.0,0.0
71958,0.00021918131435016736,2,10,2.5208723268037343e-20,3.8074864216456614e-19,0.0,0.0043809783679718646
72001,0.002487823465868464,66,8,1.1835155919130826e-06,1.7179711072714495e-06,2.4824550678174286e-05,0.14906430578275637
72157,8.64439217488278e-05,0,0,-0.0,-3.4205451550000245e-19,0.0,0.0
72193,0.00017125213074137947,7,14,1.0940153924141095e-06,1.076033243185687e-07,2.8066830500720876e-05,0.09089330959219773
72517,0.00027556694146793105,9,10,1.0596934241956185e-06,1.9163113395967492e-07,3.129692974615436e-08,0.004547728409659375
72553,8.64439217488278e-05,0,1,2.0211995546792515e-20,1.1246605584008905e-19,0.0,0.0
72744,0.00012835556432639955,3,15,1.34349993232322e-06,8.077973346146405e-08,6.009010511261637e-07,0.10114360602559432
72936,0.0007491094244160366,9,10,0.0004676905786936551,7.739301513688054e-05,0.00015348014347514098,0.0943312193920534
72944,0.00013133365817876306,3,2,1.0416508622723395e-06,8.009211069747029e-08,3.69168228206602e-05,0.08121690402704329
73080,0.0001526959066915756,21,45,0.005559784346788232,0.0022530786710969436,1.7923088404222078e-05,0.07448038931659501
73100,0.0004397691002111969,14,4,1.0502634001134693e-06,2.348991267312745e-08,0.0005914941741607277,0.007003501750875438
73322,0.0005046947107169935,59,42,3.1268857767815905e-06,3.662828673753657e-06,2.6944138367666243e-06,0.09453316256415578
73342,8.64439217488278e-05,0,0,-0.0,5.110999339567745e-19,0.0,0.0
73357,0.00020576778562044208,2,11,9.100001475636193e-13,3.161821628146995e-14,0.0,0.0043809783679718646
73403,0.0006440497201810416,12,12,0.00013299259408855238,3.275503699219135e-05,0.0,0.07436234214184854
73511,0.0005555812048833927,8,5,5.952892887897601e-09,8.244556554372374e-08,7.749715937142984e-08,0.08782029058516157
73530,0.002672097899066073,148,15,0.0032990462250643707,0.01897219560239207,0.030471274550156874,0.11197611037022093
73770,0.00016341741655534893,6,14,1.052606618749582e-08,1.1977995193312928e-09,0.0,0.11391317813686813
74119,0.00010935766838876936,4,16,-7.6599529654286555e-19,-4.964896470024708e-19,0.0,0.002001000500250125
74204,0.0019540987324638865,6,5,0.0002820778739458475,5.9084183758712286e-05,0.00792361735245085,0.1293620272138482
74238,0.00029110751762025404,3,5,1.467016451923876e-09,2.0059808392074042e-08,0.0,0.1141556940270622
74355,0.00012269487851508757,17,45,1.9516045951707435e-06,8.516199731734035e-07,9.138703485877074e-07,0.008504252126063032
74506,0.0003188254022105983,6,7,1.0389773362694035e-20,1.3248250358751603e-20,0.0,0.0030015007503751876
74727,0.0008457226151879323,16,9,6.802620432206864e-21,1.295425671956494e-18,0.0,0.008031793674615085
74863,0.00023888969573063247,42,55,0.006806502955884765,0.005569878511298114,2.635530925991946e-08,0.06665078965834689
74902,0.0003258522514621718,13,20,1.2654211282642923e-06,3.1743034087882026e-07,0.0,0.12459549276713046
74920,8.64439217488278e-05,0,4,8.823404745941696e-22,-2.720574796481975e-20,0.0,0.0
74991,0.0005382997933765339,18,8,1.4362208809348653e-08,5.657613467949696e-09,0.0,0.14458548611748093
75124,0.00023611236814153063,3,3,1.51724300341041e-20,5.585148800044536e-20,0.0,0.0015007503751875938
75382,0.00011925025207642858,6,61,0.00924328164438072,0.000935580602867217,6.33140395874976e-05,0.08340976043577344
75596,0.0005751844483676223,4,1,-7.065510070765421e-21,4.7666363882996396e-20,0.0,0.002001000500250125
75762,0.00025327856966010913,3,11,3.290654933009496e-09,1.900607765561883e-10,0.0,0.10063304614791226
75791,0.0003000466783607315,4,11,4.359376957036018e-09,3.154031670107633e-10,0.0,0.10160572710597723
75851,0.00017774240052400976,9,21,9.413176080587642e-09,1.7764520419033587e-09,0.0002118301392938751,0.11487189654505907
75952,0.0007522973759382366,15,10,-1.8027440244424822e-21,-6.116165941301384e-20,7.511263139077047e-08,0.007609067691740607
75970,0.00023631675155485617,1,1,7.760113379586292e-22,8.95539180153217e-21,0.0,0.008841021818098592
76093,0.00045103575370719054,28,27,1.3042292249407053e-06,6.909852170403237e-07,0.00014149617619830986,0.022356005589001398
76113,0.00023631675155485617,1,1,7.760113379586292e-22,-2.498887002385906e-20,0.0,0.008841021818098592
76122,0.00029270459984413657,12,15,1.1833916025726106e-06,2.7767251264914835e-07,0.0,0.11667513893720252
76387,8.64439217488278e-05,0,2,2.520523029977232e-10,-1.4656310376430104e-19,0.0,0.0
76530,0.0004449655715952029,39,46,3.2703241302277404e-06,2.426772982101063e-06,9.789159373738662e-05,0.1098942825240757
76813,8.64439217488278e-05,0,0,-0.0,-1.4838192450398459e-19,0.0,0.0
77081,0.00035010149220000874,8,8,2.9411165640895086e-10,5.1028595069110734e-11,0.0,0.00400200100050025
77116,0.0003188254022105983,6,7,8.829245555461258e-21,1.2307854965252934e-19,0.0,0.0030015007503751876
77287,0.0010097443029112897,1,1,5.672952051344465e-21,-1.839197370932586e-19,0.0,0.0009004502251125562
77370,0.00024648742813809896,2,9,2.948494600846447e-10,1.134693464723726e-11,0.0,0.06670409133836512
77423,0.0006414213540068556,65,1,1.0352418435840192e-06,3.8106634359693104e-06,0.0002282907341025952,0.14511653661742915
77517,0.00019895071885821981,2,12,-2.7714040254888195e-21,1.0050668129521074e-20,0.003229342398927192,0.004252126063031516
77519,0.0001148535537689555,5,17,-7.872225240576335e-19,-1.8086519541907629e-19,0.0,0.0025012506253126563
77580,0.00029699556727298617,8,1,1.0352418435840192e-06,1.8043557299094562e-07,2.1937657422066294e-07,0.1448924616718705
77773,0.0006748689080474307,7,4,-8.162386500929861e-21,-9.887922664900482e-20,0.0,0.0038480778850963943
77999,0.001650362405541406,56,17,-8.189025758808278e-19,-4.227684985931331e-18,4.500475324122441e-06,0.02801400700350175
78331,0.0009469381107337199,7,0,-0.0,1.479875210008912e-07,0.0,0.13100383902161553
78383,0.0003151713822440317,25,29,1.7714257317989643e-08,9.7253070531352e-09,2.415320881601542e-05,0.12086424793462583
78531,0.00010977097918848634,2,8,1.061246898580682e-06,4.091930102706221e-08,0.0,0.0010005002501250625
78913,0.00012062095099686468,1,3,1.049576979292035e-06,2.023466755226334e-08,0.0,0.0005002501250625312
78940,0.0004953861326670097,5,5,1.550234881767212e-11,2.723911173151753e-10,0.0,0.0025012506253126563
78982,0.00011129024141385882,3,7,1.0933761401323132e-06,6.346947845124523e-08,7.511263139077046e-07,0.002017675504418876
79005,0.00011093708262345239,1,3,-2.678119960636858e-20,-2.7077058663110955e-19,1.2518771898461744e-07,0.0005002501250625312
79236,8.64439217488278e-05,0,3,1.0427888539439186e-06,3.689677745831756e-20,0.0,0.0
79381,0.0002510517630425885,11,13,1.4874421548117915e-07,5.5282140466838903e-08,0.0,0.005502751375687844
79433,0.00015773969821834968,8,0,-0.0,2.19992568878305e-07,0.0,0.1379152525639195
79480,0.00022748406135168702,15,29,1.5911101578772678e-08,4.7468217979840265e-09,3.744808889316627e-05,0.11729497561280641
79687,0.0006202255393022187,3,6,0.00019067200745741372,4.1257105446027325e-05,0.0014117638258656921,0.10949355949853574
80020,0.0007622471289809411,15,12,-2.57059320966635e-21,1.190864987745254e-19,3.830744200929293e-06,0.007609067691740607
80103,0.00010481379240479624,1,1,2.06845171980321e-09,2.064744841128592e-08,0.0,0.0005002501250625312
80140,0.00035387950596739784,8,9,2.942729178103689e-10,5.1025485264129725e-11,7.511263139077046e-07,0.00400200100050025
80321,8.64439217488278e-05,0,0,-0.0,-5.4112038799130656e-20,0.0,0.0
80336,8.64439217488278e-05,0,2,7.217210222850512e-14,1.7016545970745056e-20,0.0,0.0
80765,0.000519503311184958,60,45,3.246553923319851e-06,3.721791302057292e-06,5.047805244386865e-05,0.11023316357150677
80828,0.000213923897223566,12,45,3.2800152661401298e-06,7.322288595509163e-07,3.5087293421611794e-05,0.10893743200144552
81435,0.0006292466406247992,15,8,1.435316156170994e-08,3.4212774931847686e-07,0.00017172807415754155,0.14478068349507445
81701,0.0005195033111849579,60,45,3.2144692577481347e-06,3.722409858441231e-06,4.17032396230674e-05,0.11023316357150677
81706,0.0001151162807369983,1,16,1.783126820218165e-08,3.422662901262296e-10,0.0,0.09710100167144756
81766,8.64439217488278e-05,0,2,4.951992320029147e-16,4.400983103677864e-20,0.0,0.0
82011,0.0006120754044222832,18,15,6.336762412863528e-10,2.3656357456431654e-10,0.0,0.11494225140437316
82167,0.00024361905513641295,23,34,0.004424625827333713,0.002122499322198012,9.753403923607304e-07,0.08367939403878732
82281,0.00023631675155485617,1,1,7.760113379586292e-22,7.331319296660122e-19,0.0,0.008841021818098592
82409,0.00015992340437270155,1,0,-0.0,2.368446514249741e-19,0.0,0.0005002501250625312
82411,8.64439217488278e-05,0,1,2.8633972730642773e-10,-8.763487584790933e-20,0.0,0.0
82476,0.0017787442801867664,113,9,0.00027828974992891576,0.01338049126857931,0.00305201433013229,0.11134497833312978
82637,8.64439217488278e-05,0,1,2.858473923801521e-09,-2.633491320199675e-19,0.0,0.0
82702,0.0003188254022105983,6,7,-2.1877959205049264e-20,3.0541072737354127e-19,0.0,0.0030015007503751876
82868,8.64439217488278e-05,0,0,-0.0,-2.794945814798685e-20,0.0,0.0
82996,0.00023631675155485617,1,1,7.760113379586292e-22,1.5285804589965988e-19,0.0,0.008841021818098592
82997,0.000575184448367622,2,2,7.29361409978186e-21,1.7956096284882646e-19,0.0,0.0010005002501250625
83047,8.64439217488278e-05,0,0,-0.0,8.324858907561216e-20,0.0,0.0
83062,0.00039253290109762687,9,10,1.0557622965398585e-06,1.830177142968605e-07,8.345847932307828e-07,0.004502251125562781
83199,0.0006774966859498303,1,4,-1.419743145608778e-20,2.648017550157063e-19,1.5022526278154093e-05,0.004880818787772264
83227,0.00010041990411912131,4,34,0.005874953939821214,0.0004923482376001453,5.671012457085234e-06,0.07379217968366864
83341,0.0008591989846333263,16,11,3.4752356586663094e-20,-6.873848963027069e-20,3.7556315695385234e-06,0.008031793674615085
83427,0.00014587401479788795,1,4,1.4363396594111793e-13,2.769385153035491e-15,0.0,0.0065322333710936065
84219,8.64439217488278e-05,0,0,-0.0,1.2908474395247356e-22,0.0,0.0
84268,0.00031757408577300154,4,7,1.0413631302547591e-06,2.2040024279915072e-08,0.00012512260291259067,0.0768438779733812
84270,8.64439217488278e-05,0,0,-0.0,6.131264367056512e-20,0.0,0.0
84369,0.0006120754044222832,18,15,6.336762412845771e-10,2.365635746892809e-10,0.0,0.11494225140437316
84382,0.0024675248655164628,24,9,2.2618259029603663e-09,1.471019981639031e-07,0.005507341592050614,0.1459188607622138
84428,0.001992131585092895,56,13,1.1023282371545209e-06,1.1680050938805204e-06,0.008328794982715241,0.1563933008170752
84824,0.0015795555929256553,19,7,3.2618864820118044e-09,1.2647585000438594e-09,0.0,0.11993423477079274
84906,0.003894611686218816,163,19,0.0009293555932565513,0.01901158786379451,0.0671154975003419,0.133100681546447
84908,0.0003258522514621718,13,20,1.2654211282642986e-06,3.1743034087838187e-07,0.0,0.12459549276713046
84941,0.00033089950214001507,2,1,1.2362000671159592e-21,8.886119307610547e-06,0.00030645953607434347,0.09295292767731067
85309,8.64439217488278e-05,0,2,7.217210222850512e-14,2.0775105015758375e-19,0.0,0.0
85359,0.00035010149220000874,8,8,2.9411165640636034e-10,5.1028595251432114e-11,0.0,0.00400200100050025
85486,9.40584001882988e-05,2,21,3.231006192635492e-09,1.2458035451165808e-10,0.0,0.0010005002501250625
86240,8.64439217488278e-05,0,17,1.2055465550109609e-09,-1.1926692736967636e-19,0.0,0.0
86256,0.0006465369358421557,3,2,2.5356815465694185e-21,1.0712140817838841e-19,0.0,0.0015007503751875938
86290,8.64439217488278e-05,0,0,-0.0,-7.18672899228381e-20,0.0,0.0
86607,0.00024565437983424293,6,5,1.2448464857116886e-06,1.3099204762885624e-07,0.00025768784012272214,0.10171922004362614
86737,0.00031485110576905237,25,28,1.75849060105943e-08,9.727800801174815e-09,2.4129363536208822e-05,0.12086424793462583
86741,0.0006774966859498303,1,4,-3.2629310925194825e-20,4.206849472002728e-20,1.5022526278154093e-05,0.004880818787772264
86939,0.0011072885519518964,143,34,0.0041866698312866425,0.018869896032124373,0.0016927792539685662,0.09647703944505347
87249,0.00010372964720034411,3,15,-7.337490436167089e-19,-3.9549230647201943e-19,0.0,0.0015007503751875938
87281,0.000843738708847873,3,3,-2.3837927779403822e-20,1.512729314726967e-20,1.0015017518769395e-06,0.0015007503751875938
87333,0.001050281169631198,10,5,1.0563491466983837e-06,4.018183789860099e-07,0.00022205547521317282,0.17324898313453982
87382,0.0008466450477145829,2,1,-1.9387357038979082e-22,-6.854983138955323e-19,2.503754379692349e-07,0.0010005002501250625
87417,8.64439217488278e-05,0,6,-7.399821541322366e-21,2.860772151659103e-19,0.0,0.0
87528,8.64439217488278e-05,0,0,-0.0,-1.796251570274521e-19,0.0,0.0
87614,0.0005751844483676223,29,29,1.3161509525517977e-18,3.392066344312858e-18,0.0,0.014507253626813406
87834,0.0003000466783607315,4,11,4.359376957037314e-09,3.1540316691949407e-10,0.0,0.10160572710597723
87855,9.545984335210931e-05,1,9,1.7565564113882764e-09,3.3864438633369335e-11,0.0,0.0005002501250625312
87888,0.00041265195416492675,8,3,5.310120228748089e-21,-3.116281384745072e-19,0.0,0.0064032016008004
88144,0.00023851148981917093,3,4,-1.1588997650460057e-20,4.487400225686885e-20,0.0,0.0015007503751875938
88192,0.000315043237635594,24,29,1.2856108503771499e-06,5.99997981754264e-07,0.00012214907162380896,0.018009004502251125
88490,0.000519284388437532,60,44,3.2287266712035932e-06,3.7221349914923484e-06,3.312739909746782e-05,0.11023316357150677
88679,0.0001933613791982618,7,12,2.5513798398012854e-07,1.1626653243906338e-07,0.0004974071053875677,0.13577280591824217
88790,0.00010447576495539081,2,6,1.4700924010023808e-09,6.772887717783878e-11,0.0,0.0010005002501250625
88983,0.00026777033348506787,11,13,4.285324782767564e-09,2.3350410173330518e-08,0.0,0.005502751375687844
89073,0.005046138862278677,28,8,2.600909233833063e-10,5.0600452266280895e-12,0.00029381557645689714,0.013721146287429428
89657,0.00019594933973008613,1,0,-0.0,3.7544992765633907e-10,0.0,0.09749921641318585
89777,0.0014534924081136438,20,17,-8.586841902021212e-19,-1.4278459910433974e-18,1.4727966939366757e-08,0.017052004263001068
90220,0.0006228789593506323,1,1,7.189583687546194e-14,5.014261717657352e-12,0.0,0.009974217878169855
90459,8.64439217488278e-05,0,2,1.038653663194458e-06,-1.6686302913154983e-19,0.0,0.0
90515,0.0008200347465968457,71,1,2.1026860814392643e-09,4.165376721885618e-06,0.00016882748940027018,0.15947273742916
90543,0.001449297338050498,145,2,0.0005401123725368723,0.018973752342494203,0.0,0.09652666117036916
90978,0.0005991961413183796,33,30,3.2667775515450865e-08,1.931163295125735e-07,0.008471171838364879,0.1494500983320647
91063,0.00023631675155485617,1,1,7.760113379586292e-22,2.6980740185878747e-19,0.0,0.008841021818098592
91081,0.0006381438233829692,19,7,1.4277888239273748e-08,5.907220458327115e-09,0.0,0.11803267986194357
91230,0.0002539746931284225,11,16,1.2050011318615122e-06,3.4918691214949924e-08,0.0007005336768605098,0.005502751375687844
91413,0.0002449876823787879,3,62,0.00924832462123413,0.00017617954360603784,0.0004027288919735143,0.07385025518169809
91754,0.0004744062794793272,3,4,-1.5976695295577727e-20,-5.065652123225159e-19,0.0,0.0016008004002001
92111,8.64439217488278e-05,0,1,4.096333449698726e-09,-1.3009640478300338e-19,0.0,0.0
92121,0.000757692084037048,15,11,-8.719441176806625e-21,4.356877154410321e-19,0.001414821524876553,0.007609067691740607
92133,0.00022410214177361447,8,16,-3.391959412445882e-20,2.1120151893512347e-19,0.0,0.0053360013340003325
92205,8.64439217488278e-05,0,1,1.2363787845150766e-20,1.1180084549225507e-19,0.0,0.0
92501,0.0003784640103336713,1,1,1.1040145875006922e-21,2.3872664692779723e-19,0.0,0.0011434288572857857
92583,0.00017050132760138744,7,13,5.521107233730152e-08,1.276303070762825e-07,0.00030645953607434347,0.09089330959219773
92641,0.000537584179195977,17,15,1.7748568798295787e-08,5.820402711251885e-09,2.1621707464628613e-05,0.11536619700660228
92746,0.000575184448367622,1,1,3.093545148926817e-22,-4.308136195141493e-20,0.0,0.0005002501250625312
92809,0.00014936064344096817,20,44,0.005431602390319759,0.0021166641886369267,6.709037267873857e-08,0.07417864070375109
92842,0.00038582843736409574,2,8,3.2798568492187e-09,1.0547900065536273e-10,0.0,0.10157919126708824
92907,0.0003188254022105983,6,7,4.936877222568562e-21,3.9702431145301707e-19,0.0,0.0030015007503751876
92929,0.000803829988659261,12,11,6.027156362079585e-09,4.783855658340221e-08,5.2597240858554175e-05,0.1395071257985432
92936,0.00010172107578002436,1,7,1.0903676584945556e-06,2.098629440257861e-08,1.6274403468000265e-06,0.0013895836807292536
93073,0.0004456246125782205,2,9,3.282554461236112e-09,1.0668788124659185e-10,0.00014471700314621776,0.11829279907593701
93095,0.00023631675155485617,1,1,7.760113379586292e-22,2.85290622214028e-19,0.0,0.008841021818098592
93300,9.445872294770955e-05,1,4,7.59179164750789e-21,-1.1135280183980244e-19,0.0,0.0006670001667500416
93346,0.00023895464432438954,42,56,0.006845013777236114,0.00556913606583429,1.0077140747739205e-05,0.06665078965834689
93701,0.00023924788440365442,42,61,0.007379726078837887,0.005558827412088535,3.349111012570365e-05,0.06665078965834689
93778,0.000600800300115944,7,0,-0.0,1.4225248085551068e-18,0.0,0.003501750875437719
93879,8.64439217488278e-05,0,2,8.410733851614123e-09,-8.774131636229136e-20,0.0,0.0
93923,0.00012279174968540823,17,47,1.956113108642763e-06,8.515330540875519e-07,2.588464736205274e-05,0.008504252126063032
93989,0.0006595675598263905,5,1,7.138286447475854e-14,1.1085886798535423e-14,5.007508759384698e-07,0.008078805758019196
