nodo,pagerank,in_degree,out_degree,hits_hub,hits_authority,betweenness,closeness
3338,0.00040367693177291756,1,2,-2.484704362403084e-22,1.3818422272429483e-19,0.0,0.0006670001667500416
3413,0.0002769132304052651,2,2,0.00027175884662174876,4.103520721345894e-05,0.0,0.10941376532895511
3537,0.00026777033348506787,11,13,4.285324782767568e-09,2.33504101733302e-08,0.0,0.005502751375687844
3627,0.000666691663754586,14,14,2.773544635365407e-09,2.057473850777872e-08,0.0005457171123337541,0.007003501750875438
3674,0.000575184448367622,6,6,4.426766860916188e-21,2.293634867937685e-19,0.0,0.0030015007503751876
4109,0.00019439567391432662,2,11,-2.6717616895515456e-21,-5.709211178133777e-19,0.0,0.004252126063031516
4740,0.00029660209381547414,10,12,1.0689013796007516e-06,2.0607220326973393e-07,0.0,0.0050025012506253125
4784,0.0005076844398003794,5,6,1.4066982092762185e-08,1.4943393026113747e-12,0.0010090130150160167,0.0025012506253126563
5030,0.0006865806134915246,14,11,2.9720997578051613e-09,2.0832733375933028e-08,0.0,0.11263133442189963
5077,0.00026894954189293524,11,14,2.3464235760475838e-08,2.298066226940101e-08,0.0004124625361152628,0.005502751375687844
5562,0.0005358103158709381,22,25,1.365281898364497e-06,5.380360589043278e-07,0.005139774078523214,0.1427977637287352
5640,0.00010271627767421119,4,18,2.688443032322429e-12,2.0766190944807395e-13,0.0,0.002001000500250125
5736,8.64439217488278e-05,0,1,1.0352418435840192e-06,2.402138241237819e-19,0.0,0.0
5806,8.64439217488278e-05,0,5,1.467016451923876e-09,-5.884689681849361e-20,0.0,0.0
5898,8.64439217488278e-05,0,2,7.217210222850512e-14,-2.2514358554969533e-19,0.0,0.0
6323,0.00036844927307492115,1,5,1.467016451923876e-09,1.2038905014264333e-10,1.2518771898461744e-07,0.09653907457844148
6646,0.00010407850073772281,3,16,-7.618778279526112e-19,1.1106490139673939e-18,3.755631569538523e-07,0.0015007503751875938
6992,8.64439217488278e-05,0,0,-0.0,-3.269061513801319e-19,0.0,0.0
7016,9.87779921646714e-05,2,10,-3.564916586266244e-21,2.2324093821462804e-08,0.00020981461701821891,0.0010005002501250625
7203,0.0016441018294632186,19,11,4.346185023321616e-09,1.2438544393309973e-09,0.00044587692578354574,0.11993423477079274
7412,0.00014936064344096817,20,44,0.005431602390319758,0.002116664188636927,6.709037267873857e-08,0.07417864070375109
7432,0.00010852758201530018,1,0,-0.0,2.0104418285701497e-08,0.0,0.0818989170001622
7695,8.64439217488278e-05,0,0,-0.0,-3.634778382980293e-19,0.0,0.0
7761,0.0010231750463649226,16,16,-2.907777826715366e-20,-1.2956657392966592e-19,1.7776656095815678e-05,0.0080040020010005
7876,9.40584001882988e-05,2,21,2.694345788833777e-12,1.0388630977155956e-13,0.0,0.0010005002501250625
7895,0.00042724704332881694,25,27,1.3036815637847676e-06,6.370514003238627e-07,1.0787008452507872e-05,0.021792408809446738
8025,0.0005751844483676223,29,29,1.3171244675224125e-18,3.323550140952672e-18,0.0,0.014507253626813406
8056,0.0007869159299544907,7,6,0.000732441845620349,6.825143750251464e-05,0.01571137492600013,0.10955747868096338
8191,0.000575184448367622,1,1,8.538566347997381e-23,-7.888761515802907e-19,0.0,0.0005002501250625312
8261,0.0008600849976656474,28,7,1.078164219856028e-06,5.471577379131309e-07,3.628778878004171e-05,0.11775495590932723
8373,0.00012086700414847291,1,8,1.0987961226418698e-06,2.1189361747963495e-08,0.0,0.06676935372426941
9060,8.64439217488278e-05,0,0,-0.0,1.1191783008836308e-19,0.0,0.0
9130,0.0010372335688098287,18,3,1.0454559593699626e-06,3.695217827131995e-07,2.6908301438520456e-06,0.12381458748506698
9168,0.0005751844483676223,29,29,1.3167660019813935e-18,3.3487790266374686e-18,0.0,0.014507253626813406
9516,0.00010271627767421119,4,18,3.2239277135539004e-09,2.4902424601122015e-10,0.0,0.002001000500250125
9549,0.0006440497201810417,12,12,0.00013299259408855238,3.275503699219072e-05,0.0,0.07436234214184854
9600,0.0006729325536913809,5,4,-3.994903951272614e-20,-4.209636255511551e-19,0.0,0.0025012506253126563
9926,9.46467046018323e-05,1,8,1.094892269950954e-06,2.1067237904394077e-08,1.0432309915384784e-06,0.0005002501250625312
10199,0.000122278161344303,1,1,9.583400261728597e-08,1.8485848837381252e-09,0.0,0.08527636532113608
10352,0.0005655329110460844,4,4,2.0380628833108003e-20,1.1053209562832303e-18,1.3353356691692525e-06,0.003762297815574454
10466,8.64439217488278e-05,0,6,1.0888826791712491e-06,-1.434721206314656e-20,0.0,0.0
10494,8.64439217488278e-05,0,1,1.0352418435840192e-06,-2.907409148415794e-19,0.0,0.0
10699,0.0004340669626572217,1,1,-2.2616438460271745e-21,-6.319251758248215e-20,2.503754379692349e-07,0.0025012506253126563
11341,0.000442373125371084,1,3,3.096610557306108e-20,6.037130612034263e-19,1.2518771898461744e-07,0.0009004502251125562
11506,0.000614133785878459,18,16,1.2023411041787549e-09,2.2560035306064453e-10,2.003003503753879e-06,0.11494225140437316
11508,0.002603061821304412,23,5,1.8313492605431604e-20,2.387722503752814e-19,1.4234241069881113e-05,0.012020295862216823
11689,0.00012122466374641855,6,29,1.0599408477961092e-08,1.199707973918817e-09,3.1055926650782906e-07,0.09695051581066266
11845,0.00032552751151642583,46,60,0.009208848108633623,0.00803433638273372,1.4349673315229964e-05,0.08393200401631944
12094,0.00025312332314099693,11,15,1.6291453776124427e-07,5.500895253892556e-08,1.0670166581455559e-05,0.005502751375687844
12270,0.0007123574894070081,8,9,0.0004674340498506643,6.84727490535098e-05,0.0,0.094319367247388
12636,0.000565793933715147,2,2,-3.516108899027695e-21,-1.4343750514907439e-18,0.0,0.0011255627813906953
12650,0.0007131303109055159,21,16,2.5081973746369718e-12,1.2478068139430719e-11,8.960322450400822e-08,0.010505252626313157
12962,0.0003258522514621718,13,20,1.265421128264299e-06,3.1743034087834793e-07,0.0,0.12459549276713046
13078,0.0013372021009661712,11,3,4.5571419075663974e-08,1.2567142528915984e-07,0.00038382123553300874,0.14444638135885338
13205,0.00032526050726646534,21,0,-0.0,5.277806689836478e-07,0.0,0.02132666333166583
13239,0.0026614785883099217,32,7,1.4224625888640335e-08,9.655836717547162e-09,9.435383670810925e-05,0.14497640863691794
13482,0.00019362081063562187,1,10,3.031178555216995e-08,2.2962978340559033e-10,0.0003980046815678705,0.10313062837229854
13562,8.64439217488278e-05,0,5,1.087370234792998e-06,-2.6174190138730753e-20,0.0,0.0
13719,0.0006942413261479979,14,13,1.0410620271757444e-06,8.195233055305386e-10,0.0029739594521985724,0.11263133442189963
13728,0.00011086678972132291,1,14,1.3478841473766186e-06,2.6074324004580162e-08,0.0,0.1008717876809945
14112,0.00022932136583739653,2,17,1.3586362635679681e-06,2.393024020329527e-08,0.0002537439809545486,0.12078645919902832
14125,0.000537584179195977,17,15,1.774856879827066e-08,5.820402713020383e-09,2.1621707464628613e-05,0.11536619700660228
14246,8.64439217488278e-05,0,1,2.858473923801521e-09,3.8358223044989854e-19,0.0,0.0
14277,0.0002264283272564802,15,17,8.354522427337887e-09,2.946880832563689e-09,8.033513314464584e-05,0.11497746116127447
14344,0.0009624719624156543,13,13,2.8150625627464785e-07,1.5514295537412693e-07,0.0023650900436014083,0.18198493185986936
14467,8.64439217488278e-05,0,4,0.00028124924582138003,-4.324561715299019e-19,0.0,0.0
14709,0.00010600364966458338,1,15,1.3460189690792317e-06,2.595570702117937e-08,0.0,0.10115723540250116
14937,0.000392532901097627,9,10,1.0557622965398547e-06,1.8301771429714077e-07,8.345847932307828e-07,0.004502251125562781
15001,0.0002959709063613655,23,27,1.4912851812100903e-08,9.101280461831312e-09,6.767472626005757e-07,0.12082534104650909
15010,9.867333384328309e-05,1,47,1.0252279882270459e-05,1.951618936957496e-07,0.004070730133007118,0.1351859974647868
15082,8.64439217488278e-05,0,0,-0.0,-1.4555395822231221e-19,0.0,0.0
15121,0.0004442393605375382,6,7,1.2058441848189825e-05,1.1133171508199732e-06,0.0006660096015714067,0.12174632564417144
15240,0.0003246644465271424,48,59,0.009121010774164053,0.008251300335614145,5.712036304627286e-06,0.08395077655132643
15378,0.00060101233904518,15,16,1.1883849125704824e-06,3.044834700820207e-07,0.0010391344026435309,0.12298293642233961
